gene1,gene2,idx1,idx2,cosine,combined_score,experimental,database,textmining,coexpression,neighborhood,fusion,cooccurence
PDRG1,RPAP3,1304,1615,0.8100335597991943,987,821,540,857,57,0,0,0
RPAP3,RUVBL1,1615,1732,0.48827245831489563,999,985,900,999,137,0,0,0
GPN1,RPAP3,694,1615,0.7057029604911804,935,174,0,921,92,0,0,0
RPAP2,RPAP3,1614,1615,0.7025532722473145,963,556,0,913,127,0,0,0
RPAP3,URI1,1615,2174,0.7793717384338379,977,873,540,608,127,0,0,0
RPAP3,RUVBL2,1615,1733,0.35045957565307617,999,985,900,999,83,0,0,0
RPAP3,WDR92,1615,2253,0.07103042304515839,995,855,540,933,115,0,0,0
RPAP3,UXT,1615,2199,0.8449010848999023,989,848,540,855,62,0,0,0
PFDN2,RPAP3,1313,1615,0.7933579087257385,986,829,540,833,83,0,0,0
PFDN6,RPAP3,1316,1615,0.39687269926071167,996,821,540,962,101,0,0,0
RPAP1,RPAP3,1613,1615,0.771169900894165,931,0,0,930,58,0,0,0
POLR2E,RPAP3,1375,1615,-0.24537381529808044,988,858,540,829,73,0,0,0
COX15,UQCRFS1,341,2169,0.40932413935661316,978,0,944,573,177,0,0,0
COX15,CYC1,341,384,0.45394933223724365,961,575,791,446,136,231,0,0
COX10,COX15,339,341,0.19923458993434906,999,501,980,949,697,231,0,0
COX15,PET117,341,1310,-0.3509511947631836,914,95,0,909,0,0,0,0
COX15,COX5A,341,343,0.4345465302467346,941,95,720,782,67,0,0,0
BCS1L,COX15,1829,341,0.04418635740876198,942,0,720,789,109,0,0,0
COX11,COX15,340,341,0.22047337889671326,931,88,0,773,620,231,0,0
PSMA4,PSME2,1470,1503,-0.44500207901000977,990,976,0,428,355,0,0,0
PSMA4,UBC,1470,2143,-0.13489899039268494,966,926,500,132,91,0,0,0
PSMA4,PSMD8,1470,1500,0.723437488079071,999,995,0,530,876,0,0,0
PSMA4,PSMC6,1470,1488,0.8202506303787231,999,999,0,724,816,57,0,0
PSMA4,PSMB3,1470,1476,0.9180728197097778,999,998,900,890,932,0,0,0
PSMA3,PSMA4,1469,1470,0.9884945154190063,999,999,900,777,950,0,0,0
PSMA4,PSMC1,1470,1482,0.8372800350189209,999,999,0,630,723,0,0,0
PSMA4,PSMD14,1470,1492,0.42812392115592957,999,998,0,574,886,0,0,0
PSMA4,PSMD1,1470,1493,0.7952739000320435,999,992,0,722,652,0,0,0
PSMA4,PSMB2,1470,1475,0.9655050039291382,999,998,900,819,941,0,0,0
PSMA4,PSMA5,1470,1471,0.9454869031906128,999,999,900,524,973,0,0,88
AKIRIN2,PSMA4,491,1470,0.4111012816429138,927,927,0,0,47,0,0,0
PSMA4,PSMD2,1470,1495,0.8355177640914917,999,995,0,693,533,0,0,0
PSMA4,PSMD7,1470,1499,0.8288900852203369,999,997,0,613,754,0,0,0
PSMA4,PSMB1,1470,1474,0.8836778402328491,999,998,900,921,899,0,0,0
PSMA4,PSMD13,1470,1491,0.7861111760139465,998,993,0,682,456,0,0,0
PSMA4,PSMA6,1470,1472,0.9448193311691284,999,999,900,536,955,0,0,0
PSMA4,RPS27A,1470,1694,-0.037041760981082916,978,941,500,125,263,0,0,0
PSMA4,PSMD12,1470,1490,0.8343174457550049,999,996,0,595,857,0,0,0
PSMA4,UBQLN4,1470,2152,0.2231840044260025,995,995,0,203,87,0,0,0
PSMA1,PSMA4,1467,1470,0.9749584197998047,999,999,900,660,923,0,0,82
PSMA4,PSMB6,1470,1479,0.12834525108337402,999,999,900,852,785,0,0,0
PSMA4,PSME1,1470,1502,-0.20472024381160736,992,976,0,628,208,0,0,0
ADRM1,PSMA4,300,1470,0.014841190539300442,978,906,500,443,276,0,0,0
PSMA4,PSMB4,1470,1477,0.49085283279418945,999,999,900,807,882,0,0,0
PSMA4,PSMB5,1470,1478,0.9500607252120972,999,999,900,781,474,0,0,0
PSMA4,PSMD6,1470,1498,0.8568921685218811,999,994,0,625,600,0,0,0
PSMA4,PSMB7,1470,1481,0.9096308350563049,999,999,900,744,661,0,0,0
PSMA4,PSMG2,1470,1506,-0.271878182888031,971,957,0,84,321,0,0,0
PSMA4,PSMD3,1470,1496,0.7103747725486755,998,996,0,528,340,0,0,0
PSMA2,PSMA4,1468,1470,0.7528505325317383,999,999,900,631,960,0,0,0
PSMA4,PSMD4,1470,1497,0.6986356377601624,999,998,0,648,850,0,0,0
PSMA4,PSMC2,1470,1483,0.8638402819633484,999,993,0,691,642,0,0,0
PSMA4,PSMA7,1470,1473,0.9274410605430603,999,999,900,258,900,0,0,0
PSMA4,PSMC3,1470,1485,0.730718195438385,999,990,0,889,526,57,0,0
PSMA4,PSMC4,1470,1486,0.8712420463562012,999,993,0,644,717,57,0,0
PSMA4,PSMC5,1470,1487,0.804800808429718,999,999,0,727,509,0,0,0
PSMA4,UBA52,1470,2139,-0.3500394821166992,943,857,500,205,127,0,0,0
PSMA4,PSMD11,1470,1489,0.8262304663658142,999,999,0,617,664,0,0,0
MRPS10,MRPS23,1056,1066,0.8981764912605286,993,951,800,324,150,0,0,0
MRPS10,RPL26,1056,1637,-0.3906821012496948,905,633,0,240,667,102,0,0
MRPS10,UBA52,1056,2139,0.21008408069610596,951,841,0,90,691,0,0,0
MRPS10,RPS6,1056,1705,-0.33650586009025574,976,856,0,349,773,0,0,0
MRPS10,MRPS28,1056,1071,0.8873374462127686,986,905,800,0,343,0,0,0
MRPS10,RPS15,1056,1682,-0.36795252561569214,983,842,0,349,835,120,0,0
MRPS10,RPS2,1056,1699,-0.3285224139690399,959,796,0,330,709,111,0,0
