gene1,gene2,idx1,idx2,cosine,combined_score,experimental,database,textmining,coexpression,neighborhood,fusion,cooccurence
NDUFAF3,NDUFAF7,1148,1149,-0.21157708764076233,732,0,500,472,67,0,0,0
NDUFAF7,NDUFS3,1149,1156,-0.0028282874263823032,735,115,500,375,82,118,0,0
RPAP3,TTI2,1615,2107,0.16204652190208435,762,304,112,618,114,0,0,0
PDRG1,RPAP3,1304,1615,0.8100335597991943,987,821,540,857,57,0,0,0
RPAP3,TELO2,1615,1991,0.12999457120895386,749,532,0,479,54,0,0,0
RPAP3,RUVBL1,1615,1732,0.48827245831489563,999,985,900,999,137,0,0,0
POLR3A,RPAP3,1383,1615,-0.07656502723693848,882,782,0,469,67,42,0,0
MED17,RPAP3,965,1615,0.3578767776489258,774,0,0,761,97,0,0,0
GPN1,RPAP3,694,1615,0.7057029604911804,935,174,0,921,92,0,0,0
RPAP2,RPAP3,1614,1615,0.7025532722473145,963,556,0,913,127,0,0,0
POLR3B,RPAP3,1384,1615,-0.30511412024497986,823,799,0,98,102,0,0,0
EFTUD2,RPAP3,513,1615,-0.05434633791446686,762,253,0,684,76,0,0,0
RPAP3,URI1,1615,2174,0.7793717384338379,977,873,540,608,127,0,0,0
HSPA8,RPAP3,801,1615,-0.15151101350784302,778,132,540,463,89,0,0,0
INTS3,RPAP3,829,1615,0.29071712493896484,811,0,0,810,49,0,0,0
POLR1A,RPAP3,1365,1615,-0.1440431922674179,823,777,0,195,95,42,0,0
POLR2F,RPAP3,1377,1615,0.6571966409683228,701,652,0,158,55,49,0,0
RPAP3,TTI1,1615,2106,0.19307738542556763,766,245,0,697,58,0,0,0
CDC37,RPAP3,230,1615,-0.2131086140871048,772,240,540,335,137,0,0,0
RPAP3,RUVBL2,1615,1733,0.35045957565307617,999,985,900,999,83,0,0,0
PPP1CA,RPAP3,1410,1615,-0.1618095338344574,850,835,0,68,102,0,0,0
NOP58,RPAP3,1199,1615,-0.07406508922576904,705,267,0,578,123,0,0,0
POLR3E,RPAP3,1387,1615,-0.26859328150749207,749,738,0,0,82,0,0,0
RPAP3,WDR92,1615,2253,0.07103042304515839,995,855,540,933,115,0,0,0
GPN3,RPAP3,696,1615,0.689039409160614,719,476,0,370,218,0,0,0
RPAP3,ZNHIT2,1615,47,-0.1602572202682495,711,307,0,591,62,0,0,0
RPAP3,UXT,1615,2199,0.8449010848999023,989,848,540,855,62,0,0,0
PFDN2,RPAP3,1313,1615,0.7933579087257385,986,829,540,833,83,0,0,0
PFDN6,RPAP3,1316,1615,0.39687269926071167,996,821,540,962,101,0,0,0
RPAP1,RPAP3,1613,1615,0.771169900894165,931,0,0,930,58,0,0,0
POLR2E,RPAP3,1375,1615,-0.24537381529808044,988,858,540,829,73,0,0,0
POLR2B,RPAP3,1371,1615,0.68925940990448,817,641,0,482,97,0,0,0
POLR2L,RPAP3,1382,1615,0.4612085521221161,748,658,0,277,67,0,0,0
POLR1C,RPAP3,1367,1615,-0.09763669222593307,831,810,0,126,65,0,0,0
COX15,NDUFS3,341,1156,0.2343788743019104,750,138,0,711,82,0,0,0
COX15,COX5B,341,344,0.3517812192440033,804,93,540,562,58,0,0,0
COX15,UQCRFS1,341,2169,0.40932413935661316,978,0,944,573,177,0,0,0
COX15,COX6C,341,345,0.2359175682067871,739,0,540,441,67,0,0,0
COX15,CYC1,341,384,0.45394933223724365,961,575,791,446,136,231,0,0
COX15,UQCRC2,341,2168,0.45329105854034424,888,184,753,460,98,0,0,0
COX15,LRPPRC,341,911,0.05976571515202522,839,88,0,800,191,0,0,0
COX10,COX15,339,341,0.19923458993434906,999,501,980,949,697,231,0,0
COX15,COX7C,341,347,0.4405640661716461,892,0,720,621,67,0,0,0
COX15,UQCRQ,341,2171,0.4102105498313904,745,0,540,451,75,0,0,0
COX15,COX7B,341,346,0.40523436665534973,803,0,540,591,0,0,0,0
CLCC1,COX15,297,341,-0.28635305166244507,821,207,0,349,653,120,0,0
COX15,NDUFA4,341,1144,0.1746695190668106,850,74,720,465,49,0,0,0
COX15,PET117,341,1310,-0.3509511947631836,914,95,0,909,0,0,0,0
COX15,COX5A,341,343,0.4345465302467346,941,95,720,782,67,0,0,0
COX15,COX17,341,342,0.4645807445049286,721,0,0,719,49,0,0,0
BCS1L,COX15,1829,341,0.04418635740876198,942,0,720,789,109,0,0,0
COX11,COX15,340,341,0.22047337889671326,931,88,0,773,620,231,0,0
COX15,UQCRC1,341,2166,0.2642153799533844,842,246,599,502,82,0,0,0
COX15,UQCRB,341,2165,0.4217124879360199,739,0,540,433,82,0,0,0
PSMA4,PSME2,1470,1503,-0.44500207901000977,990,976,0,428,355,0,0,0
PSMA4,UBC,1470,2143,-0.13489899039268494,966,926,500,132,91,0,0,0
PSMA4,PSMD8,1470,1500,0.723437488079071,999,995,0,530,876,0,0,0
CCT8,PSMA4,219,1470,0.12791003286838531,731,53,0,215,668,0,0,0
PSMA4,PSMC6,1470,1488,0.8202506303787231,999,999,0,724,816,57,0,0
PSMA4,PSMB3,1470,1476,0.9180728197097778,999,998,900,890,932,0,0,0
CCT2,PSMA4,213,1470,0.14776432514190674,731,65,0,246,650,0,0,0
PSMA3,PSMA4,1469,1470,0.9884945154190063,999,999,900,777,950,0,0,0
PSMA4,PSMG1,1470,1505,-0.30018606781959534,789,428,0,591,174,0,0,0
PSMA4,PSMC1,1470,1482,0.8372800350189209,999,999,0,630,723,0,0,0
PSMA4,PSMD14,1470,1492,0.42812392115592957,999,998,0,574,886,0,0,0
PSMA4,PSMD1,1470,1493,0.7952739000320435,999,992,0,722,652,0,0,0
PSMA4,PSMB2,1470,1475,0.9655050039291382,999,998,900,819,941,0,0,0
NEDD8,PSMA4,1160,1470,0.5690016746520996,765,359,500,110,275,0,0,0
PSMA4,PSMA5,1470,1471,0.9454869031906128,999,999,900,524,973,0,0,88
AKIRIN2,PSMA4,491,1470,0.4111012816429138,927,927,0,0,47,0,0,0
PSMA4,PSMD2,1470,1495,0.8355177640914917,999,995,0,693,533,0,0,0
PSMA4,SKP1,1470,1803,0.2879076302051544,718,208,400,253,300,0,0,0
PSMA4,PSMD7,1470,1499,0.8288900852203369,999,997,0,613,754,0,0,0
PSMA4,PSMB1,1470,1474,0.8836778402328491,999,998,900,921,899,0,0,0
PSMA4,PSMD13,1470,1491,0.7861111760139465,998,993,0,682,456,0,0,0
PSMA4,PSMA6,1470,1472,0.9448193311691284,999,999,900,536,955,0,0,0
PSMA4,RPS27A,1470,1694,-0.037041760981082916,978,941,500,125,263,0,0,0
PSMA4,PSMD12,1470,1490,0.8343174457550049,999,996,0,595,857,0,0,0
PSMA4,UBQLN4,1470,2152,0.2231840044260025,995,995,0,203,87,0,0,0
PSMA1,PSMA4,1467,1470,0.9749584197998047,999,999,900,660,923,0,0,82
EEF1B2,PSMA4,509,1470,-0.34312474727630615,741,0,0,177,699,0,0,0
PSMA4,VCP,1470,2203,0.1616837978363037,821,533,500,206,153,0,0,0
PSMA4,PSMB6,1470,1479,0.12834525108337402,999,999,900,852,785,0,0,0
PSMA4,PSME1,1470,1502,-0.20472024381160736,992,976,0,628,208,0,0,0
ADRM1,PSMA4,300,1470,0.014841190539300442,978,906,500,443,276,0,0,0
PSMA4,PSMB4,1470,1477,0.49085283279418945,999,999,900,807,882,0,0,0
PSMA4,PSMB5,1470,1478,0.9500607252120972,999,999,900,781,474,0,0,0
PSMA4,PSMD6,1470,1498,0.8568921685218811,999,994,0,625,600,0,0,0
PSMA4,PSMB7,1470,1481,0.9096308350563049,999,999,900,744,661,0,0,0
PSMA4,PSMG2,1470,1506,-0.271878182888031,971,957,0,84,321,0,0,0
PSMA4,PSMD3,1470,1496,0.7103747725486755,998,996,0,528,340,0,0,0
