gene,degree,n_pairs,mean_cosine,mean_assoc,mean_improvement,deg_q
PDRG1,36,10,0.4698448061943054,0.2367221638560295,-0.2331226423382759,1
RPAP3,96,12,0.5354216614117225,0.2538555972278118,-0.28156606418391067,3
RUVBL1,402,55,0.0004160981011492285,0.14969878240742468,0.14928268430627545,5
GPN1,56,10,0.8380203515291214,0.27395474165678024,-0.5640656098723411,2
RPAP2,88,17,0.6668342216049924,0.24641567643950968,-0.4204185451654827,3
URI1,46,10,0.462836014200002,0.23736565187573433,-0.22547036232426762,1
RUVBL2,350,52,0.00904738655886971,0.17856421798037794,0.16951683142150825,5
WDR92,40,10,0.15187828093767167,0.17674236595630646,0.024864085018634796,1
UXT,66,9,0.5376046490338113,0.2512617955605189,-0.28634285347329247,2
PFDN2,70,21,0.2285777944184485,0.2334704970320066,0.004892702613558088,2
PFDN6,86,25,0.16694968573749067,0.26447641909122466,0.09752673335373402,2
RPAP1,28,4,0.9224494397640228,0.3022012263536453,-0.6202482134103775,1
POLR2E,420,96,-0.12935843908538422,0.16080452928630015,0.29016296837168437,5
COX15,96,7,0.20748096704483032,0.23874305401529586,0.03126208697046552,3
UQCRFS1,308,35,0.49921687596610614,0.23841997789485114,-0.260796898071255,5
CYC1,302,31,0.5083400294665368,0.2284200326088936,-0.2799199968576431,5
COX10,102,3,0.24513277411460876,0.21780616541703543,-0.027326608697573345,3
PET117,14,1,-0.3565848469734192,0.2833053469657898,0.639890193939209,1
COX5A,266,30,0.6426553020874659,0.313012699286143,-0.32964260280132296,5
BCS1L,108,6,0.26379648596048355,0.2477230206131935,-0.01607346534729004,3
COX11,54,4,0.3537353128194809,0.2380927950143814,-0.11564251780509949,2
PSMA4,158,39,0.595377652022319,0.2784944429802589,-0.3168832090420601,4
PSME2,88,16,-0.16079001082107425,0.07888306817039847,0.23967307899147272,3
UBC,796,71,0.1443575674038328,0.19034902300213424,0.04599145559830145,5
PSMD8,142,38,0.5493366556046041,0.23767481940357307,-0.31166183620103094,3
PSMC6,134,37,0.5975719507078867,0.2503611699149415,-0.34721078079294515,3
PSMB3,128,39,0.5900697267900866,0.28063993289684636,-0.3094297938932402,3
PSMA3,170,38,0.5949803189815659,0.27538655659085826,-0.3195937623907077,4
PSMC1,176,36,0.6170500756965743,0.2626799040784438,-0.35437017161813045,4
PSMD14,230,43,0.3029354756134887,0.24755198300577874,-0.05538349260770997,4
PSMD1,164,36,0.663593405592514,0.2936149781776799,-0.3699784274148341,4
PSMB2,148,39,0.6179173266013654,0.275466728859987,-0.3424505977413784,3
PSMA5,168,40,0.5707416919991374,0.26363468635827303,-0.30710700564086435,4
AKIRIN2,34,8,0.45582183077931404,0.3985173627734184,-0.057304468005895615,1
PSMD2,190,36,0.5948745049536228,0.2510181609541178,-0.34385634399950504,4
PSMD7,150,38,0.5640595790586973,0.24042198767787532,-0.32363759138082204,3
PSMB1,128,39,0.633049686654256,0.30049119201990276,-0.3325584946343532,3
PSMD13,142,37,0.6239622676291982,0.27336898204442617,-0.35059328558477193,3
PSMA6,150,39,0.5782797621228756,0.28507617736856145,-0.2932035847543142,3
RPS27A,1178,186,0.32564235045649714,0.09502604586242508,-0.23061630459407204,5
PSMD12,170,39,0.6086009572236202,0.26228429921544516,-0.346316658008175,4
UBQLN4,72,23,0.22317723638337592,0.14155961540730103,-0.08161762097607488,2
PSMA1,158,40,0.6151406089775264,0.29491407237946987,-0.32022653659805655,4
PSMB6,118,37,0.1935786746687734,0.2542216797938218,0.060643005125048395,3
PSME1,90,16,-0.051258659455925226,0.045729871140792966,0.09698853059671819,3
ADRM1,156,35,0.11678293006760733,0.27190837774957927,0.15512544768197195,4
PSMB4,130,37,0.49029501587957947,0.2867190078706355,-0.20357600800894401,3
PSMB5,120,38,0.6173823178794823,0.2748693021896638,-0.34251301568981846,3
PSMD6,152,37,0.656278224948265,0.2635860058504182,-0.39269221909784685,3
PSMB7,118,38,0.601358597607989,0.2664680153523621,-0.33489058225562696,3
PSMG2,98,26,0.020792375784367323,0.15998435579240322,0.1391919800080359,3
PSMD3,132,37,0.6363569842399778,0.27086550400063797,-0.36549148023933975,3
PSMA2,164,38,0.5804004988780147,0.3098284482563797,-0.27057205062163503,4
PSMD4,224,39,0.5733589180386983,0.2631872949691919,-0.3101716230695064,4
PSMC2,180,36,0.6381063403354751,0.2680833399709728,-0.37002300036450225,4
PSMA7,162,40,0.5484778257086873,0.2547334698960185,-0.2937443558126688,4
PSMC3,168,36,0.6144836906136738,0.27967406974898446,-0.33480962086468935,4
PSMC4,164,35,0.6356805524655751,0.2717765429190227,-0.3639040095465524,4
PSMC5,182,38,0.5636085481137821,0.24570908956229687,-0.31789945855148527,4
UBA52,1042,169,-0.057954134375474156,0.09045820504691474,0.1484123394223889,5
PSMD11,170,37,0.6556898694787476,0.270050716158506,-0.3856391533202416,4
MRPS10,576,125,0.18122178126871585,0.11922229954600334,-0.06199948172271252,5
MRPS23,194,41,0.778798462777603,0.23922893441304927,-0.5395695283645536,4
RPL26,560,120,0.46450157700261724,0.11668214219001433,-0.3478194348126029,5
RPS6,750,186,0.46204113070502556,0.11691191738912014,-0.3451292133159054,5
MRPS28,194,33,0.799587886893388,0.22585109824484045,-0.5737367886485476,4
RPS15,678,163,0.30707754888943184,0.10599162432999333,-0.20108592455943852,5
RPS2,730,155,0.3603050573894213,0.11716093049655038,-0.24314412689287096,5
MRPL50,208,43,0.8364744578856368,0.25313084070072617,-0.5833436171849107,4
MRPS24,192,31,0.7258710986784389,0.25074008107185364,-0.47513101760658527,4
MRPL17,526,107,0.2827541817145022,0.11298566694571593,-0.16976851476878624,5
RPS8,644,172,0.4816554295288962,0.10572140055253755,-0.37593402897635864,5
RPL37A,488,115,0.4739745399104836,0.11599079467680143,-0.3579837452336822,5
RPS10-NUDT3,358,95,0.5806902177043651,0.13466976061463357,-0.4460204570897316,5
MRPS6,476,103,0.22934375978210597,0.11305998813686441,-0.11628377164524158,5
RPL24,480,126,0.39715345698364435,0.11515581986260792,-0.2819976371210364,5
MRPL51,206,49,0.8156912367866964,0.2421199227778279,-0.5735713140088685,4
MRPS9,464,106,0.30658363807454425,0.10528559866800623,-0.201298039406538,5
MRPS25,220,53,0.6838734785340866,0.2283797503080008,-0.45549372822608586,4
MRPL21,440,105,0.07141015362548864,0.16141557667759202,0.09000542305210339,5
RPL23A,728,167,0.3351441172598499,0.11079499262669486,-0.224349124633155,5
MED1,790,124,0.19581430193577562,0.08701180593831645,-0.10880249599745918,5
RPS25,526,135,0.0929302864056943,0.12199495657416129,0.029064670168467005,5
MRPS31,200,33,0.7584473870017312,0.2218029900933757,-0.5366443969083555,4
MRPS22,204,49,0.7083520621669536,0.20747743083202108,-0.5008746313349325,4
RPS5,696,178,0.4666820400240151,0.11706266466402605,-0.34961937535998905,5
RPS28,644,173,0.4812118389638345,0.12296566927019571,-0.3582461696936388,5
MRPL33,414,93,0.2993324027066269,0.11650737567294028,-0.18282502703368664,5
MRPS18A,236,64,0.7892312676376605,0.21098423725925386,-0.5782470303784066,4
