gene_a,gene_b,mean_deg,cosine,assoc,improvement
PDRG1,RPAP3,66.0,0.8100508451461792,0.2816504240036011,-0.5284004211425781
RPAP3,RUVBL1,249.0,0.4818982779979706,0.21884097158908844,-0.26305730640888214
GPN1,RPAP3,76.0,0.7047936320304871,0.250292032957077,-0.45450159907341003
RPAP2,RPAP3,92.0,0.6986997127532959,0.2647955119609833,-0.4339042007923126
RPAP3,URI1,71.0,0.7813975214958191,0.3301047682762146,-0.4512927532196045
RPAP3,RUVBL2,223.0,0.33168548345565796,0.19918441772460938,-0.13250106573104858
RPAP3,WDR92,68.0,0.06453048437833786,0.2098185420036316,0.14528805762529373
RPAP3,UXT,81.0,0.8407749533653259,0.27683374285697937,-0.5639412105083466
PFDN2,RPAP3,83.0,0.789825439453125,0.2750813961029053,-0.5147440433502197
PFDN6,RPAP3,91.0,0.3980727195739746,0.32264816761016846,-0.07542455196380615
RPAP1,RPAP3,62.0,0.7680096626281738,0.283080518245697,-0.4849291443824768
POLR2E,RPAP3,258.0,-0.244678795337677,0.13393667340278625,0.37861546874046326
COX15,UQCRFS1,202.0,0.4144020974636078,0.2046673595905304,-0.2097347378730774
COX15,CYC1,199.0,0.4594358801841736,0.32844388484954834,-0.13099199533462524
COX10,COX15,99.0,0.20315982401371002,0.18536807596683502,-0.017791748046875
COX15,PET117,55.0,-0.3565848469734192,0.2833053469657898,0.639890193939209
COX15,COX5A,181.0,0.447920560836792,0.273604154586792,-0.17431640625
BCS1L,COX15,102.0,0.04178142547607422,0.11589671671390533,0.07411529123783112
COX11,COX15,75.0,0.24225182831287384,0.27991583943367004,0.037664011120796204
PSMA4,PSME2,123.0,-0.4436599910259247,0.044100072234869,0.4877600632607937
PSMA4,UBC,477.0,-0.13269607722759247,0.22043031454086304,0.3531263917684555
PSMA4,PSMD8,150.0,0.7262483835220337,0.25996285676956177,-0.4662855267524719
PSMA4,PSMC6,146.0,0.8164647221565247,0.2598060369491577,-0.5566586852073669
PSMA4,PSMB3,143.0,0.9201611876487732,0.3584634065628052,-0.561697781085968
PSMA3,PSMA4,164.0,0.9882127642631531,0.36850473284721375,-0.6197080314159393
PSMA4,PSMC1,167.0,0.8360390067100525,0.27594220638275146,-0.560096800327301
PSMA4,PSMD14,194.0,0.42935824394226074,0.2713182866573334,-0.15803995728492737
PSMA4,PSMD1,161.0,0.7941885590553284,0.3022356331348419,-0.49195292592048645
PSMA4,PSMB2,153.0,0.9654174447059631,0.3511529564857483,-0.6142644882202148
PSMA4,PSMA5,163.0,0.9453945755958557,0.35264158248901367,-0.592752993106842
AKIRIN2,PSMA4,96.0,0.41099077463150024,0.39678317308425903,-0.014207601547241211
PSMA4,PSMD2,174.0,0.83222895860672,0.24989864230155945,-0.5823303163051605
PSMA4,PSMD7,154.0,0.8271023035049438,0.25285565853118896,-0.5742466449737549
PSMA4,PSMB1,143.0,0.8835580945014954,0.37635529041290283,-0.5072028040885925
PSMA4,PSMD13,150.0,0.7868596315383911,0.30099883675575256,-0.48586079478263855
PSMA4,PSMA6,154.0,0.9451050758361816,0.37838214635849,-0.5667229294776917
PSMA4,RPS27A,668.0,-0.036886945366859436,0.09567821025848389,0.13256515562534332
PSMA4,PSMD12,164.0,0.8325866460800171,0.29159635305404663,-0.5409902930259705
PSMA4,UBQLN4,115.0,0.22351066768169403,0.12040375173091888,-0.10310691595077515
PSMA1,PSMA4,158.0,0.9749855399131775,0.3913760483264923,-0.5836094915866852
PSMA4,PSMB6,138.0,0.13275685906410217,0.2903282046318054,0.15757134556770325
PSMA4,PSME1,124.0,-0.2073240429162979,0.01713482290506363,0.22445886582136154
ADRM1,PSMA4,157.0,0.012467700988054276,0.31029990315437317,0.2978322021663189
PSMA4,PSMB4,144.0,0.4900101125240326,0.3268926441669464,-0.16311746835708618
PSMA4,PSMB5,139.0,0.9488164782524109,0.32529109716415405,-0.6235253810882568
PSMA4,PSMD6,155.0,0.8553850054740906,0.29051491618156433,-0.5648700892925262
PSMA4,PSMB7,138.0,0.9101556539535522,0.32783883810043335,-0.5823168158531189
PSMA4,PSMG2,128.0,-0.27237361669540405,0.044059768319129944,0.316433385014534
PSMA4,PSMD3,145.0,0.7085291147232056,0.2894561290740967,-0.4190729856491089
PSMA2,PSMA4,161.0,0.7532082200050354,0.4067997932434082,-0.3464084267616272
PSMA4,PSMD4,191.0,0.7001906037330627,0.2909976541996002,-0.4091929495334625
PSMA4,PSMC2,169.0,0.8625953197479248,0.28483104705810547,-0.5777642726898193
PSMA4,PSMA7,160.0,0.9255146980285645,0.35402223467826843,-0.571492463350296
PSMA4,PSMC3,163.0,0.7308993935585022,0.31130653619766235,-0.41959285736083984
PSMA4,PSMC4,161.0,0.8690620064735413,0.2747284770011902,-0.5943335294723511
PSMA4,PSMC5,170.0,0.8025753498077393,0.294086754322052,-0.5084885954856873
PSMA4,UBA52,600.0,-0.3524584174156189,0.20777422189712524,0.5602326393127441
PSMA4,PSMD11,164.0,0.8245484232902527,0.296034038066864,-0.5285143852233887
MRPS10,MRPS23,385.0,0.899789571762085,0.23864756524562836,-0.6611420065164566
MRPS10,RPL26,568.0,-0.3913160264492035,0.04606500640511513,0.4373810328543186
MRPS10,UBA52,809.0,0.214278444647789,0.04124350845813751,-0.1730349361896515
MRPS10,RPS6,663.0,-0.33807995915412903,0.06721421331167221,0.40529417246580124
MRPS10,MRPS28,385.0,0.8895467519760132,0.21925097703933716,-0.670295774936676
MRPS10,RPS15,627.0,-0.3679140508174896,0.029542628675699234,0.39745667949318886
MRPS10,RPS2,653.0,-0.327796071767807,0.05515536665916443,0.38295143842697144
MRPL50,MRPS10,392.0,0.7333869934082031,0.22364933788776398,-0.5097376555204391
MRPS10,MRPS24,384.0,0.8558569550514221,0.24024224281311035,-0.6156147122383118
MRPL17,MRPS10,551.0,0.7154654860496521,0.17377910017967224,-0.5416863858699799
MRPS10,RPS8,610.0,-0.3806724548339844,0.06166714429855347,0.44233959913253784
MRPS10,RPL37A,532.0,-0.3765745460987091,0.05023680254817009,0.4268113486468792
MRPS10,RPS10-NUDT3,467.0,-0.38086652755737305,0.053419291973114014,0.43428581953048706
MRPS10,MRPS6,526.0,0.7465699911117554,0.15103653073310852,-0.5955334603786469
MRPS10,RPL24,528.0,-0.26381245255470276,0.058149900287389755,0.3219623528420925
MRPL51,MRPS10,391.0,0.6700767278671265,0.24147246778011322,-0.42860426008701324
MRPS10,MRPS9,520.0,0.796651303768158,0.16834796965122223,-0.6283033341169357
MRPS10,MRPS25,398.0,0.8786966800689697,0.21698635816574097,-0.6617103219032288
MRPL21,MRPS10,508.0,0.2820766270160675,0.19967421889305115,-0.08240240812301636
MRPS10,RPL23A,652.0,-0.380891889333725,0.07201151549816132,0.4529034048318863
MED1,MRPS10,683.0,-0.45954740047454834,0.011215649545192719,0.47076305001974106
MRPS10,RPS25,551.0,-0.31846633553504944,0.06750386208295822,0.38597019761800766
MRPS10,MRPS31,388.0,0.8576779365539551,0.1983032524585724,-0.6593746840953827
MRPS10,MRPS22,390.0,0.8606773614883423,0.209310382604599,-0.6513669788837433
MRPS10,RPS5,636.0,-0.37338724732398987,0.05418741703033447,0.42757466435432434
MRPS10,RPS28,610.0,-0.4157981872558594,0.05592667683959007,0.47172486409544945
MRPL33,MRPS10,495.0,0.5647481083869934,0.13422001898288727,-0.43052808940410614
MRPS10,MRPS18A,406.0,0.6794773936271667,0.22314558923244476,-0.456331804394722
MRPS10,RPS7,611.0,-0.36960235238075256,0.06071356683969498,0.43031591922044754
MRPS10,POLR1C,510.0,-0.13983935117721558,0.05497398599982262,0.1948133371770382
MRPS10,RPL4,647.0,-0.37832650542259216,0.05580635741353035,0.4341328628361225
MRPS10,RPLP1,470.0,-0.1843908280134201,0.08419038355350494,0.26858121156692505
MRPL36,MRPS10,525.0,0.6146113276481628,0.14496979117393494,-0.4696415364742279
MRPS10,POLR2C,596.0,-0.46047842502593994,-0.09809621423482895,0.362382210791111
MRPS10,RPS17,588.0,-0.33645099401474,0.03285984322428703,0.369310837239027
MRPS10,RPL30,569.0,-0.38195112347602844,0.06626880168914795,0.4482199251651764
MRPL18,MRPS10,391.0,0.6706809997558594,0.1607583910226822,-0.5099226087331772
MRPL3,MRPS10,585.0,0.6959648132324219,0.1516779065132141,-0.5442869067192078
ERAL1,MRPS10,342.0,0.7251875996589661,0.23117870092391968,-0.4940088987350464
MRPS10,RPL5,663.0,-0.34391656517982483,0.06984958797693253,0.41376615315675735
MRPS10,MRPS26,385.0,0.8788312077522278,0.24824604392051697,-0.6305851638317108
MRPS10,RPL19,581.0,-0.38141337037086487,0.06559453159570694,0.4470079019665718
MRPS10,RPS18,709.0,-0.38709256052970886,0.048391059041023254,0.4354836195707321
MRPS10,RPL34,548.0,-0.3919416069984436,0.06318818032741547,0.45512978732585907
MRPL54,MRPS10,391.0,0.6768786311149597,0.17148807644844055,-0.5053905546665192
MRPS10,PTCD3,392.0,0.21188893914222717,0.18958118557929993,-0.022307753562927246
MRPL37,MRPS10,392.0,0.6046870350837708,0.16595256328582764,-0.4387344717979431
MRPS10,RPL35,619.0,-0.3722247779369354,0.058510277420282364,0.4307350553572178
MRPL49,MRPS10,436.0,-0.34076496958732605,0.20316720008850098,0.543932169675827
MRPS10,RPL15,564.0,-0.33720266819000244,0.060125645250082016,0.39732831344008446
MRPS10,RPS19,617.0,-0.3860321342945099,0.055568110197782516,0.4416002444922924
MRPS10,RPL7L1,502.0,-0.2583756744861603,0.03086543083190918,0.28924110531806946
MRPS10,RPL23,659.0,-0.3917759358882904,0.05646515265107155,0.44824108853936195
MRPL45,MRPS10,392.0,0.6165542006492615,0.17951054871082306,-0.4370436519384384
MRPS10,MRPS16,533.0,0.809662938117981,0.19891342520713806,-0.6107495129108429
